           Element              Name           Azimuth              x[m]              y[m]              z[m]
             sbend             BEND:        299.081470        -36.940360        295.679334         -0.000000
          thinQuad            BENDQ:        299.081470        -36.940360        295.679334         -0.000000
             drift         DBENDEND:        299.221170        -36.978430        295.813747         -0.000000
            marker     MF21:cellmark        299.221170        -36.978430        295.813747         -0.000000
             drift           DBPMIN:        299.481825        -37.049462        296.064537         -0.000000
          vmonitor          VBPMF21:        299.481825        -37.049462        296.064537         -0.000000
             drift          DBPMOUT:        299.681850        -37.103972        296.256991         -0.000000
        quadrupole           HQUADD:        301.360790        -37.561508        297.872386         -0.000000
             drift            DQOUT:        301.532570        -37.608320        298.037664         -0.000000
             drift         DPIN5LOC:        301.700845        -37.654178        298.199570         -0.000000
        quadrupole            TQDF4:        302.462845        -37.861834        298.932730         -0.000000
     thinSextupole              TSD:        302.462845        -37.861834        298.932730         -0.000000
             vkick            VDF21:        302.462845        -37.861834        298.932730         -0.000000
             drift        DPOUT5LOC:        302.624770        -37.905961        299.088526         -0.000000
             drift           DSSINF:        302.916870        -37.985562        299.369571         -0.000000
             drift             DTAB:        303.088320        -38.032285        299.534532         -0.000000
             drift             DGV3:        303.189920        -38.059972        299.632286         -0.000000
             drift             DTAB:        303.361370        -38.106695        299.797247         -0.000000
             drift         DBENDEND:        303.501070        -38.144765        299.931660         -0.000000
          thinQuad            BENDQ:        303.501070        -38.144765        299.931660         -0.000000
             sbend             BEND:        309.622453        -39.836823        305.814539         -0.000000
          thinQuad            BENDQ:        309.622453        -39.836823        305.814539         -0.000000
             drift         DBENDEND:        309.762153        -39.875983        305.948639         -0.000000
             drift         DBENDEND:        309.901853        -39.915144        306.082738         -0.000000
          thinQuad            BENDQ:        309.901853        -39.915144        306.082738         -0.000000
             sbend             BEND:        316.023236        -41.654901        311.951688         -0.000000
          thinQuad            BENDQ:        316.023236        -41.654901        311.951688         -0.000000
             drift         DBENDEND:        316.162936        -41.695149        312.085464         -0.000000
             drift         DBENDEND:        316.302636        -41.735396        312.219241         -0.000000
